title,genres,synopsis,rating,actors,directors
TRON: Ares,"Science Fiction,Adventure,Action","A highly sophisticated Program called Ares is sent from the digital world into the real world on a dangerous mission, marking humankind's first encounter with A.I. beings.",6.5,"Jared Leto,Greta Lee,Evan Peters",Joachim Rønning
Shahenshah,Action,"Inspector Srivastav is framed by a wily and cunning gangster, J.K., and unable to prove his innocence, hangs himself, leaving behind his wife, and son, Vijay. Years later, Vijay has grown up and has joined the police force as an Inspector. Unlike his dad, he is corrupt and does accept bribes to turn a nelson's eye to crime. The City Police are assigned the task of apprehending a customed man called ""Shahenshah"", who operates at night and targets, tries and kills gangsters in a ""Judge and Executioner ""style. No one knows the real identity of Shahenshah, as he is feared by the police department, and respected by the poor and middle-class.",6.3,"Amitabh Bachchan,Meenakshi Sheshadri,Aruna Irani",Tinnu Anand
The Devil Wears Prada,"Drama,Comedy","A young woman from the Midwest gets more than she bargained for when she moves to New York to become a writer and ends up as the assistant to the tyrannical, larger-than-life editor-in-chief of a major fashion magazine.",7.4,"Meryl Streep,Anne Hathaway,Emily Blunt",David Frankel
ErOddity(s) 2,"Drama,Horror,Science Fiction","ErOddity(s) 2 follows the lives of several gay youths and adults as they discover a world of the odd, the erotic and the supernatural, all of it in three short films. First, a Texas teen and wanna be actor knocks them dead at ""The Audition"". Second, two soldiers are on a secret mission in the jungles of South America. Once captured, their last night together will reveal dark secrets and create sexual tensions that will cause wide spread collateral damage in ""The Private War of Joseph Sargent"". And finally, in ""The Caretaker of Cook County"", a cemetery worker hides his recent disfigurement under the cloak of a sinister hood. But it doesn't hide his twisted attempt to recapture the one that got away. An attempt that includes the help from young male bodies fresh from the mortuary!",3.9,"Addison Graham,Grayson Lange,Cory Tyndall",Steven Vasquez
Come Dance with Me,"Family,Romance,TV Movie","Jack is an executive in a financial brokerage firm trying to impress the firm’s president, Drew Clayton, in hopes of a promotion. However, Jack is dating the fabulously rich and elegant Demi Clayton, who happens to be Drew’s daughter. Although Demi’s mother Clarisse doesn’t necessarily approve of Jack and would prefer her daughter to date a man within their social circle, Jack still plans on proposing. Trying to create the perfect proposal, Jack signs up for dance lessons in preparation for his proposal to Demi at her father’s lavish annual Christmas Dance. But when sparks start to fly between Jack and his dance instructor, Christine, Jack will have to make some important decisions before it is too late.",5.5,"Andrew McCarthy,Michelle Nolden,Stephanie Mills",John Bradshaw
Pulp Fiction,"Thriller,Crime,Comedy","A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",8.486,"John Travolta,Samuel L. Jackson,Uma Thurman",Quentin Tarantino
Avatar,"Action,Adventure,Science Fiction","In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",7.6,"Sam Worthington,Zoe Saldaña,Sigourney Weaver",James Cameron
The Puppetmaster,"Drama,War,History",Master puppeteer Li Tien-lu recalls his life in Japanese-occupied Taiwan during the first half of the 20th century.,6.5,"Li Tian-Lu,Lim Giong,Pai Ming-Hua",Hou Hsiao-hsien
Spirited Away,"Animation,Family,Fantasy","A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",8.533,"Rumi Hiiragi,Miyu Irino,Mari Natsuki",Hayao Miyazaki
Spider-Man,"Action,Science Fiction","After being bitten by a genetically altered spider at Oscorp, nerdy but endearing high school student Peter Parker is endowed with amazing powers to become the superhero known as Spider-Man.",7.322,"Tobey Maguire,Willem Dafoe,Kirsten Dunst",Sam Raimi
Deadpool & Wolverine,"Action,Comedy,Science Fiction","A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",7.556,"Ryan Reynolds,Hugh Jackman,Emma Corrin",Shawn Levy
Joker,"Crime,Thriller,Drama","During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",8.126,"Joaquin Phoenix,Robert De Niro,Zazie Beetz",Todd Phillips
The Green Mile,"Fantasy,Drama,Crime","A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",8.505,"Tom Hanks,David Morse,Bonnie Hunt",Frank Darabont
Kulong,Drama,"Three friends retreat to a resort to collaborate on a daring screenplay for a contest. Faced with the challenge of writing about passion despite their own dry spells, their journey soon blurs the line between imagination and experience.",6.4,"Jenn Rosa,Aica Veloso,Cariz Manzano",Sigrid Polon
Parallels,Science Fiction,An underground MMA fighter must confront his sister and his past in an adventure through parallel universes,6.0,"Mark Hapka,Jessica Rothe,Eric Jungmann",Christopher Leone
Avatar: The Way of Water,"Action,Adventure,Science Fiction","Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",7.595,"Sam Worthington,Zoe Saldaña,Sigourney Weaver",James Cameron
Love Me Love Me,"Romance,Drama","After her brother's death, June moves to Milan for a fresh start, finding comfort in Will, the perfect honor student at her new international school. But when his troubled best friend James—hiding a dangerous life in clandestine MMA fights—sparks a rivalry that quickly turns into irresistible attraction, June must choose between safety and a love that upends everything she thought she wanted.",5.626,"Pepe Barroso,Mia Jenkins,Luca Melucci",Roger Kumble
