title,genres,synopsis,rating,actors,directors
Countess Dora,Drama,"A pseudo biography of Dora Pejačević (10 September 1885 - 5 March 1923), a Croatian composer.",5.0,"Alma Prica,Rade Šerbedžija,Irina Alfyorova",Zvonimir Berković
Imperial Delhi,Documentary,"This MGM short, part of James A. Fitzpatrick's Traveltalk series, takes the viewer to the capital of British India, Delhi. Visits to mosques and temples are followed by a tour of the shopping district, Chandni Chowk. The streets are filled bullock carts and only a few cars. Much is made of the peaceful co-existence between Hindu and Muslim. This is followed by a visit to the Viceroy's palace in adjoining New Delhi with a taste of the pomp and majesty of Imperial India.",0.0,James A. FitzPatrick,
Turbulence,"Thriller,Action,Adventure,Drama,Fantasy","Young married couple Zach and Emmy decide to take a hot air balloon trip across the Italian Dolomites to rekindle their relationship. When they and pilot Harry are joined by a third passenger, Julia, events unfold in ways they could never imagine five thousand meters in the air.",6.1,"Jeremy Irvine,Olga Kurylenko,Kelsey Grammer",Claudio Fäh
Hemmet,"Drama,TV Movie",A satire of the welfare society showing the mechanical nature of the elderly care.,0.0,"Margita Ahlin,Kent Andersson,Marian Gräns",Lennart Hjulström
The Sexpert,Comedy,"Hopelessly inept clod Finster Fahrquart desperately tries to get into the swing of the 70's sexual revolution and figure out a way to succeed with the ladies. Following a series of disastrous encounters with such folks as an aggressive farmer's daughter, a not so innocent virgin, and an unhappy housewife, Finster decides to attend an orgy.",0.0,"Stan Ross,Jaime Lyn Bauer,Marvin Miller",Alan Roberts
The Godfather,"Drama,Crime","Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",8.7,"Marlon Brando,Al Pacino,James Caan",Francis Ford Coppola
Spider-Man: Homecoming,"Action,Adventure,Science Fiction","Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.",7.3,"Tom Holland,Michael Keaton,Robert Downey Jr.",Jon Watts
900 Neighbours,Documentary,"Australian headlines screamed ""Skeleton Found In Housing Commission Apartment"" ... the man had died six months earlier but no-one noticed. The Northcott building is one of Sydney's most infamous buildings - synonymous with suicides, murders and drug deals. But now, Northcott residents are working hard to turn that perception around. This is their inspirational story.",0.0,,Brendan Fletcher
The Lord of the Rings: The Return of the King,"Adventure,Fantasy,Action","As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",8.495,"Elijah Wood,Ian McKellen,Viggo Mortensen",Peter Jackson
Future World,Science Fiction,A young boy searches a future world wasteland for a rumored cure for his dying mother.,4.314,"James Franco,Suki Waterhouse,Jeffrey Wahlberg","James Franco,Bruce Thierry Cheung"
The Gorge,"Romance,Science Fiction,Thriller","Two highly trained operatives grow close from a distance after being sent to guard opposite sides of a mysterious gorge. When an evil below emerges, they must work together to survive what lies within.",7.616,"Miles Teller,Anya Taylor-Joy,Sigourney Weaver",Scott Derrickson
Marty Supreme,"Drama,Thriller","Marty Mauser, a young man with a dream no one respects, goes to hell and back in pursuit of greatness.",7.438,"Timothée Chalamet,Gwyneth Paltrow,Odessa A'zion",Josh Safdie
My Fault,"Drama,Romance,Thriller","Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",7.751,"Nicole Wallace,Gabriel Guevara,Marta Hazas",Domingo González
The Running Man,"Action,Thriller,Science Fiction","Desperate to save his sick daughter, working-class Ben Richards is convinced by The Running Man's charming but ruthless producer to enter the deadly competition game as a last resort. But Ben's defiance, instincts, and grit turn him into an unexpected fan favorite — and a threat to the entire system. As ratings skyrocket, so does the danger, and Ben must outwit not just the Hunters, but a nation addicted to watching him fall.",6.765,"Glen Powell,William H. Macy,Lee Pace",Edgar Wright
Hannah Montana 20th Anniversary Special,"Documentary,Family,Music","Filmed in front of a live studio audience and hosted by Alex Cooper of 'Call Her Daddy' fame, Miley Cyrus reflects on the creation and impact of the series, with never-before-seen archival footage, and some of the show's most memorable sets will be 'brought back to life' — including the Stewart family living room and the legendary Hannah Montana closet.",7.7,"Miley Cyrus,Alex Cooper,Tish Cyrus",Sam Wrench
The Dark Knight,"Action,Crime,Thriller","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",8.527,"Christian Bale,Heath Ledger,Aaron Eckhart",Christopher Nolan
"Good Luck, Have Fun, Don't Die","Science Fiction,Action,Comedy",A 'Man from the Future' arrives at an LA diner where he must recruit the precise combination of disgruntled patrons to join him on a one-night quest to save the world from the terminal threat of a rogue artificial intelligence.,6.961,"Sam Rockwell,Juno Temple,Haley Lu Richardson",Gore Verbinski
Star Wars: The Last Jedi,"Adventure,Action,Science Fiction","Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares to do battle with the First Order.",6.756,"Mark Hamill,Carrie Fisher,Adam Driver",Rian Johnson
Troll 2,"Action,Fantasy,Thriller","When a dangerous new troll unleashes devastation across their homeland, Nora, Andreas and Major Kris embark on their most perilous mission yet.",6.444,"Ine Marie Wilmann,Kim S. Falck-Jørgensen,Mads Sjøgård Pettersen",Roar Uthaug
Singh Is Bliing,"Action,Comedy","Raftaar Singh is always looking to have fun and runs away from responsibility. Fed up, his father orders Raftaar to go to Goa and work, and learn to take on responsibility. Once in Goa, he impresses his new boss with his enthusiasm and creative thinking. Soon he gets an assignment, and meets Sara Amy Jackson - and thus begins their unique love story. What ensues is a great comedy of errors, as one hilarious situation after another unfolds. Raftaar falls head over heels for this exotic, mysterious girl. The romance takes a deadly turn when he realizes that Sara is not who he thinks she is and has an agenda, which takes him to Romania. Will Raftaar be able to win her over in a distant and dangerous land?",5.4,"Akshay Kumar,Amy Jackson,Rati Agnihotri",Prabhu Deva
Frankenstein,"Drama,Fantasy,Horror","Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic creation.",7.7,"Oscar Isaac,Jacob Elordi,Christoph Waltz",Guillermo del Toro
High Tor,"Fantasy,Music","High Tor is a 1936 play by Maxwell Anderson. Twenty years after the original production, Anderson adapted it into a television musical with Arthur Schwartz.  Anderson first considered a musical adaptation of High Tor for television in 1949. He and John Monks Jr. adapted the play as a made-for-television musical fantasy in 1955, with music by Arthur Schwartz and lyrics by Anderson. High Tor was filmed in November 1955 by Desilu Productions at the RKO-Pathé Studio and broadcast March 10, 1956 on the CBS television network, as a 90-minute episode of the series Ford Star Jubilee. Bing Crosby, Julie Andrews, Nancy Olson, Hans Conreid, and Keenan Wynn starred in the film, produced by Arthur Schwartz, and directed by James Neilson.",7.5,"Bing Crosby,Julie Andrews,Nancy Olson","James Neilson,Franklin J. Schaffner"
The Lord of the Rings: The Fellowship of the Ring,"Adventure,Fantasy,Action","Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",8.429,"Elijah Wood,Ian McKellen,Viggo Mortensen",Peter Jackson
Avengers: Endgame,"Adventure,Science Fiction,Action","After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",8.2,"Robert Downey Jr.,Chris Evans,Mark Ruffalo","Anthony Russo,Joe Russo"
Jurassic World Rebirth,"Science Fiction,Adventure,Action","Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.",6.294,"Scarlett Johansson,Mahershala Ali,Jonathan Bailey",Gareth Edwards
The SpongeBob Movie: Search for SquarePants,"Animation,Family,Comedy,Adventure,Fantasy","Desperate to be a big guy, SpongeBob sets out to prove his bravery to Mr. Krabs by following The Flying Dutchman – a mysterious swashbuckling ghost pirate – on a seafaring adventure that takes him to the deepest depths of the deep sea, where no Sponge has gone before.",6.794,"Tom Kenny,Clancy Brown,Rodger Bumpass",Derek Drymon
The Family Plan 2,"Action,Comedy","Now that Dan's assassin days are behind him, all he wants for Christmas is quality time with his kids. But when he learns his daughter has her own plans, he books a family trip to London—putting them all in the crosshairs of an unexpected enemy.",6.534,"Mark Wahlberg,Michelle Monaghan,Kit Harington",Simon Cellan Jones
Un hombre por semana,"Comedy,Romance,Drama",A divorced woman reconstructs her life and opens herself to love. Her search for dating apps takes her through fun and unpredictable moments to discover self-love.,6.632,"Ana de la Reguera,Roberto Quijano,Carlos 'Capi' Pérez","Marco Polo Constandse,Ana de la Reguera"
Passenger 57,"Action,Adventure,Thriller","Airline security specialist John Cutter, finally returning to the job after his wife's death, finds himself stuck on a flight being hijacked by notorious terrorist Charles Rane. Unfortunately for the terrorists, they're also stuck with him.",6.001,"Wesley Snipes,Bruce Payne,Tom Sizemore",Kevin Hooks
Slumberland Express,Animation,"Oswald the Rabbit and his little brother catch the Slumberland Express and it carries the assorted animals to childhood's dream of paradise - an amusement park where all the games are free, and windows are provided just to be broken by an abundant supply of free rocks, and old men wear silk hats to provide targets for snowballs. But Oswald's little brother wanders into Nightmare Land where terror reigns; the soap and comb and brush and toothpaste that plague a child's existence come to life.",7.0,,Walter Lantz
My Influences,Documentary,"In “Spaces #3”, 7 internationally acclaimed directors shot, after commissioning by the Thessaloniki International Film Festival, a short film at home, making their own timely comment on the new reality that we live in. The project is inspired by the book “Species of Spaces” by the French novelist, filmmaker, documentalist, and essayist, Georges Perec and the days of quarantine. The idea is to create a film at home, using the environment, the people or the animals in that space. The only outdoor areas that may be used are outdoor living spaces, such as the terrace, the garden, the balcony and the stairwell. “My influences” is Albert Serra’s submission.",0.0,Albert Serra,Albert Serra
